School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Van Horn,2.29,2.64,4.93,1,3,1
Chaminade College Prep,1.73,2.97,4.7,8,2,2
Westminster Christian Academy,1.53,3.06,4.59,11,1,3
Ft. Zumwalt East,2.1,2.43,4.53,3,4,4
Northeast (Kansas City),2.22,2.27,4.48,2,5,5
Priory,2.03,2.21,4.23,4,7,6
Rockwood Summit,1.82,2.23,4.05,7,6,7
Pembroke Hill,1.9,1.58,3.47,5,13,8
Parkway Central,1.53,1.67,3.2,12,12,9
Lincoln College Prep,1.86,1.3,3.16,6,18,10
Ft. Zumwalt South,1.36,1.79,3.16,13,9,11
Webster Groves,1.31,1.72,3.03,14,10,12
Summit Christian Academy,1.15,1.71,2.87,16,11,13
Notre Dame (Cape Girardeau),1.18,1.46,2.64,15,17,14
John Burroughs,0.46,1.93,2.39,24,8,15
St. Michael the Archangel,0.8,1.56,2.37,20,14,16
Mehlville,1.62,0.73,2.35,10,20,17
Capital City,0.87,1.26,2.13,19,19,18
St. Pius X (Kansas City),1.72,0.18,1.91,9,30,19
St. Francis Borgia,0.26,1.47,1.73,26,16,20
East (Kansas City),1.15,0.45,1.61,17,23,21
Lutheran St. Charles,0.12,1.47,1.59,29,15,22
Poplar Bluff,1.12,0.2,1.33,18,29,23
MICDS,0.57,0.23,0.8,23,28,24
Central (Cape Girardeau),0.19,0.51,0.7,28,22,25
Pacific,0.03,0.57,0.6,30,21,26
Camdenton,0.57,-0.18,0.39,22,33,27
Warrenton,0.67,-0.76,-0.09,21,41,28
Carl Junction,-0.37,0.27,-0.1,35,27,29
Belton,-0.04,-0.06,-0.11,31,32,30
West Plains,-0.6,0.32,-0.28,36,25,31
Whitfield,0.45,-1.1,-0.65,25,45,32
Washington,-1.01,0.3,-0.71,45,26,33
Parkway North,-0.36,-0.46,-0.82,34,35,34
McDonald County,0.23,-1.23,-1.0,27,49,35
Parkview,-0.78,-0.32,-1.1,38,34,36
Union,-0.64,-0.5,-1.14,37,36,37
Central (Springfield),-1.67,0.35,-1.32,50,24,38
Willard,-0.83,-0.54,-1.37,40,38,39
Raytown,-0.29,-1.13,-1.42,32,46,40
Hillsboro,-0.33,-1.13,-1.46,33,47,41
Webb City,-0.98,-0.52,-1.5,43,37,42
Hannibal,-1.13,-0.54,-1.67,46,39,43
Jefferson City,-1.89,-0.04,-1.93,54,31,44
Sikeston,-0.83,-1.14,-1.97,39,48,45
Warrensburg,-1.46,-0.81,-2.27,48,42,46
DeSoto,-0.89,-1.51,-2.4,41,54,47
Grandview,-0.96,-1.44,-2.4,42,53,48
Windsor (Imperial),-1.0,-1.43,-2.43,44,52,49
Kearney,-1.81,-0.67,-2.48,51,40,50
Hillcrest,-1.59,-0.95,-2.54,49,44,51
Holt,-1.87,-0.83,-2.7,53,43,52
University City,-1.87,-1.24,-3.11,52,50,53
Winnetonka,-2.53,-1.25,-3.78,59,51,54
Lebanon,-2.15,-1.96,-4.11,55,56,55
Marshfield,-2.42,-1.85,-4.27,57,55,56
Ruskin,-1.46,-2.92,-4.38,47,61,57
Guadalupe Centers Charter,-2.23,-2.46,-4.69,56,58,58
William Chrisman,-2.53,-2.31,-4.84,58,57,59
Raytown South,-2.95,-2.77,-5.72,60,59,60
Festus,-3.4,-2.77,-6.17,61,60,61
Hazelwood East,-5.15,-4.4,-9.55,62,62,62
